instance 3
"objective; 425.0"
x[0, 4];1
x[0, 5];1
x[0, 6];1
x[0, 7];1
x[1, 13];1
x[2, 3];1
x[3, 11];1
x[4, 9];1
x[5, 10];1
x[6, 12];1
x[7, 2];1
x[8, 15];1
x[9, 14];1
x[10, 15];1
x[11, 15];1
x[12, 15];1
x[13, 1];1
x[14, 8];1
w[0, 4];2
w[0, 5];2
w[0, 6];2
w[0, 7];2
w[2, 3];2
w[3, 8];2
w[4, 9];2
w[5, 10];2
w[6, 11];2
w[7, 12];2
w[8, 15];2
w[9, 14];2
w[10, 15];2
w[11, 15];2
w[12, 15];2
v[0, 4];1
v[0, 5];1
v[0, 6];1
v[0, 7];1
v[2, 3];1
v[3, 8];1
v[4, 9];1
v[5, 10];1
v[6, 11];1
v[7, 12];1
v[8, 15];1
v[9, 14];1
v[10, 15];1
v[11, 15];1
v[12, 15];1
y[3, 2];1
y[4, 2];1
y[5, 2];1
y[6, 2];1
y[7, 2];1
service_time[3];195
service_time[4];175
service_time[5];120
service_time[6];245
service_time[7];190
start_service[1];1
start_service[2];28
start_service[3];83
start_service[4];33
start_service[5];10
start_service[6];90
start_service[7];14
start_service[8];296
start_service[9];208
start_service[10];130
start_service[11];335
start_service[12];204
start_service[13];1
start_service[14];241
start_service[15];425
