 199708 104487 1174.78300   50   30 1191.22883 1167.58153  1.99%  14.7  250s
 203050 106302 1190.01182   47   20 1191.22883 1167.59352  1.98%  14.8  256s
 204659 107087 1186.08247   44   19 1191.22883 1167.59853  1.98%  14.8  260s
 206874 108249 1176.30991   58    8 1191.22883 1167.60651  1.98%  14.8  265s
 208163 109050 1180.65858   48   16 1191.22883 1167.61078  1.98%  14.8  270s
 209630 109690 infeasible   35      1191.22883 1167.61646  1.98%  14.8  276s
 210486 110212     cutoff   50      1191.22883 1167.62025  1.98%  14.8  280s
 211378 110709 infeasible   40      1191.22883 1167.62490  1.98%  14.8  285s
 212338 111326 1184.02710   41   26 1191.22883 1167.62712  1.98%  14.8  290s
 213644 111926 1170.84477   38   31 1191.22883 1167.63148  1.98%  14.8  295s
 214562 112370 1177.01800   43   30 1191.22883 1167.63475  1.98%  14.8  300s
 216126 113207 1180.62485   48   19 1191.22883 1167.63884  1.98%  14.9  305s
 217319 113922 1177.20583   40   27 1191.22883 1167.64171  1.98%  14.9  310s
 218586 114440 1171.67832   32   22 1191.22883 1167.64775  1.98%  14.9  316s
 219148 115058 1183.94604   49   21 1191.22883 1167.65048  1.98%  14.9  320s
 220793 115764 infeasible   57      1191.22883 1167.65478  1.98%  14.9  326s
 222106 116429 1177.23558   44   30 1191.22883 1167.66123  1.98%  14.9  330s
 223252 117054 1187.24877   57   28 1191.22883 1167.66565  1.98%  14.9  335s
 225053 117847 1170.00718   38   31 1191.22883 1167.67452  1.98%  14.9  340s
 227013 118889 1187.07309   53   34 1191.22883 1167.68329  1.98%  14.9  345s
 229257 119916 1191.04787   40   26 1191.22883 1167.69297  1.98%  14.9  350s
 231107 120758     cutoff   41      1191.22883 1167.70384  1.97%  15.0  355s
 233336 121868 1187.97683   36   22 1191.22883 1167.71411  1.97%  15.0  360s
 235259 122681 1183.33133   54   22 1191.22883 1167.72550  1.97%  15.0  365s
 237601 123679 1171.47225   36   33 1191.22883 1167.73398  1.97%  15.1  370s
 239605 124653 1184.38211   43   13 1191.22883 1167.73939  1.97%  15.1  375s
 241523 125552 1181.55411   59   27 1191.22883 1167.74651  1.97%  15.1  380s
 244141 126871 1169.07845   42   24 1191.22883 1167.75802  1.97%  15.1  385s
 246570 127990 1183.38310   39   21 1191.22883 1167.76623  1.97%  15.1  390s
 248399 128929 1188.12359   34   23 1191.22883 1167.77563  1.97%  15.1  395s
 250941 130163 1181.72409   52   18 1191.22883 1167.78600  1.97%  15.1  400s
 252811 131076 1184.47257   45   27 1191.22883 1167.79345  1.97%  15.2  405s
 255148 132171 1176.53687   50   15 1191.22883 1167.80369  1.97%  15.2  410s
 257207 133237 1175.17717   46   29 1191.22883 1167.81101  1.97%  15.2  415s
 259466 134287 1177.11338   47   14 1191.22883 1167.81985  1.97%  15.2  420s
 261373 135110 1168.53058   48   24 1191.22883 1167.82814  1.96%  15.2  425s
 263489 136028 infeasible   42      1191.22883 1167.83764  1.96%  15.2  430s
 265394 136976 1179.36041   62   12 1191.22883 1167.84549  1.96%  15.2  436s
 266592 137485 1181.76919   51   27 1191.22883 1167.85141  1.96%  15.3  440s
 268569 138309 1175.36540   46    7 1191.22883 1167.85708  1.96%  15.3  445s
 270519 139174 1175.70717   45   23 1191.22883 1167.86478  1.96%  15.3  450s
 272632 140007 1172.71085   36   30 1191.22883 1167.87620  1.96%  15.3  455s
 275014 141187     cutoff   37      1191.22883 1167.88578  1.96%  15.3  460s
 276995 142050 1176.53866   35   32 1191.22883 1167.89476  1.96%  15.3  465s
 279029 142927 infeasible   55      1191.22883 1167.90166  1.96%  15.4  470s
 281299 143884 1176.86739   33   21 1191.22883 1167.90936  1.96%  15.4  475s
 283122 144519 1174.65575   47   22 1191.22883 1167.91674  1.96%  15.4  480s
 284929 145338 1186.53774   45   27 1191.22883 1167.92427  1.96%  15.4  485s
 286592 145948 1186.51978   38   20 1191.22883 1167.93261  1.96%  15.4  490s
 288521 146674 1178.25270   36   24 1191.22883 1167.94135  1.95%  15.4  495s
 289687 147066 1175.08091   42   30 1191.22883 1167.94709  1.95%  15.5  500s
 290827 147538 1185.29049   50   19 1191.22883 1167.95206  1.95%  15.5  506s
 291843 147861 1180.76754   56   30 1191.22883 1167.95624  1.95%  15.5  510s
 293477 148518 1168.81716   64   30 1191.22883 1167.96240  1.95%  15.5  515s
 295148 149119 1183.43975   50   27 1191.22883 1167.96970  1.95%  15.5  520s
 297158 149872 1174.11504   34   22 1191.22883 1167.97877  1.95%  15.6  525s
 299246 150628 1184.10287   56   17 1191.22883 1167.98666  1.95%  15.6  530s
 300879 151119 infeasible   37      1191.22883 1167.99385  1.95%  15.6  535s
 302908 151928 1173.14368   36   23 1191.22883 1168.00127  1.95%  15.6  540s
 304606 152555 1181.55881   38   29 1191.22883 1168.00852  1.95%  15.7  545s
 306622 153241 infeasible   39      1191.22883 1168.01630  1.95%  15.7  550s
 308400 153957 1173.43213   44   25 1191.22883 1168.02386  1.95%  15.7  555s
 310259 154613 1178.29471   51   26 1191.22883 1168.03179  1.95%  15.7  560s
 312014 155175 infeasible   45      1191.22883 1168.03819  1.95%  15.7  565s
 314197 156079 infeasible   48      1191.22883 1168.04874  1.95%  15.8  570s
H315677 154362                    1189.5285245 1168.05369  1.81%  15.8  574s
 315876 154392 1180.72232   48   19 1189.52852 1168.05419  1.81%  15.8  575s
 317104 154877 infeasible   42      1189.52852 1168.05966  1.80%  15.8  580s
 318655 155341 1184.07477   42   25 1189.52852 1168.06780  1.80%  15.8  585s
 320468 156013     cutoff   61      1189.52852 1168.07765  1.80%  15.8  591s
 322254 156595 infeasible   42      1189.52852 1168.08727  1.80%  15.8  595s
 324419 157349 1177.22386   64   22 1189.52852 1168.09741  1.80%  15.9  600s
 326244 157823 infeasible   80      1189.52852 1168.10618  1.80%  15.9  605s
 328738 158562 infeasible   54      1189.52852 1168.11989  1.80%  15.9  610s
 330753 159101 infeasible   65      1189.52852 1168.13136  1.80%  15.9  615s
 332551 159693 infeasible   45      1189.52852 1168.14078  1.80%  15.9  620s
 334289 160248 1171.18546   46   23 1189.52852 1168.15135  1.80%  16.0  625s
 336460 160842 1172.51655   38   26 1189.52852 1168.16425  1.80%  16.0  630s
 338483 161433 infeasible   54      1189.52852 1168.17499  1.80%  16.0  635s
 340379 162182 1189.40779   59   20 1189.52852 1168.18073  1.79%  16.0  640s
 341885 162677 infeasible   65      1189.52852 1168.18814  1.79%  16.0  645s
 343611 163238 1187.97987   56   14 1189.52852 1168.19786  1.79%  16.1  650s
 345045 163804 infeasible   45      1189.52852 1168.20548  1.79%  16.1  655s
 346687 164389 infeasible   50      1189.52852 1168.21464  1.79%  16.1  660s
 348069 164776 infeasible   55      1189.52852 1168.22172  1.79%  16.1  665s
 349808 165312 1176.25452   47   29 1189.52852 1168.23203  1.79%  16.1  670s
 351430 165834 1182.53616   52   27 1189.52852 1168.24109  1.79%  16.1  675s
 352881 166316 infeasible   43      1189.52852 1168.24731  1.79%  16.1  680s
 354313 166741 1181.50137   36   24 1189.52852 1168.25508  1.79%  16.2  685s
 355719 167209 1180.60421   51   20 1189.52852 1168.26369  1.79%  16.2  690s
 357523 167715 infeasible   48      1189.52852 1168.27330  1.79%  16.2  695s
 359317 168185 1187.99352   46   24 1189.52852 1168.28349  1.79%  16.2  700s
 361074 168676     cutoff   48      1189.52852 1168.29236  1.79%  16.2  705s
 363108 169241 1173.04965   42   27 1189.52852 1168.30330  1.78%  16.2  710s
 364987 169726 1179.20469   32   24 1189.52852 1168.31626  1.78%  16.3  715s
 367077 170263 infeasible   44      1189.52852 1168.32871  1.78%  16.3  720s
 369343 170911 infeasible   51      1189.52852 1168.34193  1.78%  16.3  725s
 371494 171540 1177.29837   53   24 1189.52852 1168.35452  1.78%  16.3  730s
 373585 172243 1184.98971   57   21 1189.52852 1168.36339  1.78%  16.3  735s
 375263 172828 1184.63074   56   20 1189.52852 1168.37197  1.78%  16.3  740s
